time,time,price,timeunixms,open,high,low,close,volume,close_time,qoute assest volume,number of trades,taker buy base assest volume,taker buy qoute assest volume,ignore
2021-11-09 17:34:00,2021-11-09 17:34:00,4765.25000000,1636479240000,4765.24000000,4765.25000000,4765.24000000,4765.25000000,1.79628000,1636479299999,8559.72047540,8,1.79628000,8559.72047540,0
2021-11-09 17:35:00,2021-11-09 17:35:00,4764.07000000,1636479300000,4765.25000000,4765.25000000,4763.35000000,4764.07000000,25.14560000,1636479359999,119800.24752480,11,24.51591000,116800.41070850,0
2021-11-09 17:36:00,2021-11-09 17:36:00,4764.07000000,1636479360000,4764.07000000,4764.07000000,4764.07000000,4764.07000000,0.00000000,1636479419999,0.00000000,0,0.00000000,0.00000000,0
2021-11-09 17:37:00,2021-11-09 17:37:00,4765.80000000,1636479420000,4764.07000000,4765.80000000,4764.07000000,4765.80000000,0.13215000,1636479479999,629.69954180,2,0.13215000,629.69954180,0
2021-11-09 17:38:00,2021-11-09 17:38:00,4765.66000000,1636479480000,4765.07000000,4765.66000000,4765.07000000,4765.66000000,0.08940000,1636479539999,426.03711250,2,0.08940000,426.03711250,0
2021-11-09 17:39:00,2021-11-09 17:39:00,4768.94000000,1636479540000,4768.00000000,4770.26000000,4768.00000000,4768.94000000,1.75562000,1636479599999,8372.05796580,10,1.48860000,7098.65560700,0
2021-11-09 17:40:00,2021-11-09 17:40:00,4770.38000000,1636479600000,4769.05000000,4770.38000000,4769.05000000,4770.38000000,2.07169000,1636479659999,9880.42104220,2,2.07169000,9880.42104220,0
2021-11-09 17:41:00,2021-11-09 17:41:00,4770.20000000,1636479660000,4769.71000000,4770.20000000,4769.71000000,4770.20000000,0.47039000,1636479719999,2243.66705100,3,0.00230000,10.97033300,0
2021-11-09 17:42:00,2021-11-09 17:42:00,4775.11000000,1636479720000,4772.64000000,4775.40000000,4772.56000000,4775.11000000,0.91350000,1636479779999,4361.36473530,14,0.41749000,1993.48406210,0
2021-11-09 17:43:00,2021-11-09 17:43:00,4777.48000000,1636479780000,4775.22000000,4777.48000000,4775.22000000,4777.48000000,0.38644000,1636479839999,1845.57539600,2,0.38644000,1845.57539600,0
2021-11-09 17:44:00,2021-11-09 17:44:00,4776.15000000,1636479840000,4777.47000000,4777.49000000,4775.44000000,4776.15000000,1.79696000,1636479899999,8583.80612350,6,0.24922000,1190.64261660,0
2021-11-09 17:45:00,2021-11-09 17:45:00,4780.48000000,1636479900000,4777.45000000,4780.48000000,4777.45000000,4780.48000000,1.84412000,1636479959999,8814.01321830,14,1.84412000,8814.01321830,0
2021-11-09 17:46:00,2021-11-09 17:46:00,4776.84000000,1636479960000,4776.84000000,4776.84000000,4776.84000000,4776.84000000,0.04885000,1636480019999,233.34863400,1,0.04885000,233.34863400,0
2021-11-09 17:47:00,2021-11-09 17:47:00,4775.34000000,1636480020000,4773.80000000,4775.34000000,4773.80000000,4775.34000000,0.66470000,1636480079999,3174.12981320,2,0.02512000,119.91785600,0
2021-11-09 17:48:00,2021-11-09 17:48:00,4773.10000000,1636480080000,4774.16000000,4774.16000000,4773.09000000,4773.10000000,0.04532000,1636480139999,216.33674820,4,0.04532000,216.33674820,0
2021-11-09 17:49:00,2021-11-09 17:49:00,4771.12000000,1636480140000,4771.12000000,4771.12000000,4771.12000000,4771.12000000,0.05000000,1636480199999,238.55600000,1,0.00000000,0.00000000,0
2021-11-09 17:50:00,2021-11-09 17:50:00,4774.17000000,1636480200000,4772.02000000,4776.15000000,4772.02000000,4774.17000000,0.54972000,1636480259999,2623.96089750,5,0.53346000,2546.30069850,0
2021-11-09 17:51:00,2021-11-09 17:51:00,4782.77000000,1636480260000,4777.74000000,4782.81000000,4777.74000000,4782.77000000,2.51436000,1636480319999,12016.62615300,15,2.18013000,10418.14486800,0
2021-11-09 17:52:00,2021-11-09 17:52:00,4778.26000000,1636480320000,4782.56000000,4782.56000000,4778.26000000,4778.26000000,2.91913000,1636480379999,13954.16601300,23,0.00000000,0.00000000,0
2021-11-09 17:53:00,2021-11-09 17:53:00,4778.26000000,1636480380000,4778.26000000,4778.26000000,4778.26000000,4778.26000000,0.00000000,1636480439999,0.00000000,0,0.00000000,0.00000000,0
2021-11-09 17:54:00,2021-11-09 17:54:00,4783.41000000,1636480440000,4782.30000000,4785.00000000,4782.30000000,4783.41000000,0.53285000,1636480499999,2548.62422130,6,0.21932000,1048.88168400,0
